epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
77,502.651,0.36701,0.67331,0.27683,0.96453,0,0.99927,1,0.995,0.9383,0.99927,1,0.995,0.94238,0.3859,0.47571,0.58302,0.63091,0,0.0009968,0.0009968,0.0009968
78,509.498,0.35025,0.65069,0.26401,0.94663,0,0.99911,1,0.995,0.93957,0.99911,1,0.995,0.93224,0.36467,0.50936,0.58003,0.6443,0,0.0009836,0.0009836,0.0009836
79,516.135,0.36925,0.64692,0.26987,0.95691,0,0.99937,1,0.995,0.92198,0.99937,1,0.995,0.93529,0.39102,0.53981,0.37292,0.66912,0,0.0009704,0.0009704,0.0009704
80,522.433,0.37382,0.67692,0.27091,0.96302,0,0.9918,1,0.99492,0.94625,0.9918,1,0.99492,0.92852,0.36223,0.58229,0.27621,0.63153,0,0.0009572,0.0009572,0.0009572
81,528.956,0.37842,0.68894,0.27616,0.9667,0,0.99939,1,0.995,0.92839,0.99939,1,0.995,0.93233,0.39325,0.58326,0.3089,0.63864,0,0.000944,0.000944,0.000944
82,535.301,0.35562,0.63307,0.25689,0.95273,0,0.99932,1,0.995,0.95197,0.99932,1,0.995,0.9334,0.34585,0.52935,0.32331,0.61165,0,0.0009308,0.0009308,0.0009308
83,541.8,0.34867,0.64227,0.2612,0.95168,0,0.99926,1,0.995,0.96562,0.99926,1,0.995,0.94085,0.30296,0.52352,0.49174,0.55865,0,0.0009176,0.0009176,0.0009176
84,548.187,0.34462,0.61046,0.25255,0.94803,0,0.99938,1,0.995,0.95235,0.99938,1,0.995,0.93575,0.34381,0.50917,0.39803,0.62604,0,0.0009044,0.0009044,0.0009044
85,554.736,0.37029,0.67383,0.27497,0.9624,0,0.99935,1,0.995,0.95881,0.99935,1,0.995,0.9379,0.33879,0.51945,0.3341,0.5978,0,0.0008912,0.0008912,0.0008912
86,561.155,0.36252,0.64433,0.26629,0.95289,0,0.99941,1,0.995,0.94014,0.99941,1,0.995,0.93938,0.37079,0.49571,0.28899,0.61754,0,0.000878,0.000878,0.000878
87,567.513,0.35785,0.67376,0.27007,0.9557,0,0.99933,1,0.995,0.94444,0.99933,1,0.995,0.94352,0.35214,0.52367,0.31157,0.59814,0,0.0008648,0.0008648,0.0008648
88,573.822,0.35953,0.6756,0.26816,0.96655,0,0.9997,1,0.995,0.92661,0.9997,1,0.995,0.9377,0.38899,0.46206,0.35183,0.67281,0,0.0008516,0.0008516,0.0008516
89,579.901,0.35076,0.6453,0.25769,0.95028,0,0.99013,1,0.99462,0.95046,0.99357,1,0.995,0.94031,0.30742,0.50612,0.2783,0.59833,0,0.0008384,0.0008384,0.0008384
90,586.172,0.35607,0.61551,0.26191,0.94517,0,0.99941,1,0.995,0.95745,0.99941,1,0.995,0.94431,0.33548,0.536,0.29737,0.61156,0,0.0008252,0.0008252,0.0008252
91,592.65,0.34433,0.63048,0.25761,0.94695,0,0.9981,1,0.995,0.94923,0.9981,1,0.995,0.95166,0.34258,0.50464,0.29351,0.60333,0,0.000812,0.000812,0.000812
92,598.992,0.33554,0.62464,0.25705,0.94785,0,0.99921,1,0.995,0.95748,0.99921,1,0.995,0.94659,0.34367,0.50248,0.32005,0.60094,0,0.0007988,0.0007988,0.0007988
