epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
66,1264.39,0.61389,0.81548,0.30016,0.01108,0.39433,1,0.98989,0.995,0.88739,1,0.98989,0.995,0.91512,0.47815,0.62782,0.46489,0.01787,0,0.00607916,0.00607916,0.00607916
67,1283.93,0.62229,0.80056,0.29208,0.01108,0.36485,0.96998,0.98678,0.99341,0.86105,0.96998,0.98678,0.99341,0.91598,0.62612,0.57784,0.25258,0.02513,0,0.00597754,0.00597754,0.00597754
68,1303.4,0.64614,0.8395,0.3254,0.01202,0.44963,0.98396,0.93677,0.97115,0.82822,0.98396,0.93677,0.97115,0.87355,0.63246,0.6231,0.84171,0.0239,0,0.00587551,0.00587551,0.00587551
69,1323.47,0.64223,0.83064,0.32913,0.01163,0.40675,1,0.9692,0.99125,0.80789,1,0.9692,0.99125,0.86944,0.76263,0.62661,1.11869,0.03132,0,0.00577311,0.00577311,0.00577311
70,1343.87,0.61725,0.80379,0.2963,0.01115,0.38737,0.99235,0.9771,0.99462,0.81665,0.99235,0.9771,0.99462,0.89395,0.73919,0.56969,0.38493,0.03121,0,0.0056704,0.0056704,0.0056704
71,1363.7,0.64317,0.85001,0.33029,0.0122,0.44226,0.99629,0.9084,0.9893,0.87709,0.99629,0.9084,0.9893,0.88493,0.52929,0.6207,0.77962,0.02174,0,0.00556742,0.00556742,0.00556742
72,1383.04,0.61652,0.85098,0.30873,0.01111,0.43581,0.96024,0.99237,0.99274,0.82915,0.96024,0.99237,0.99274,0.87299,0.73783,0.60471,0.282,0.03058,0,0.00546421,0.00546421,0.00546421
73,1402.43,0.59644,0.80675,0.29115,0.01053,0.39837,0.95942,0.9542,0.99182,0.81328,0.95942,0.9542,0.99182,0.86475,0.78314,0.64979,0.39712,0.03388,0,0.00536081,0.00536081,0.00536081
74,1421.77,0.59823,0.82234,0.29891,0.01103,0.38239,1,0.96684,0.9944,0.85857,1,0.96684,0.9944,0.8915,0.57977,0.58307,0.42441,0.02421,0,0.00525728,0.00525728,0.00525728
75,1441.25,0.59867,0.81297,0.30149,0.01088,0.36492,0.98944,1,0.99492,0.87324,0.98944,1,0.99492,0.90197,0.5388,0.55443,0.18071,0.02252,0,0.00515366,0.00515366,0.00515366
76,1459.87,0.60645,0.77585,0.29573,0.01114,0.38046,1,0.99193,0.995,0.80001,1,0.99193,0.995,0.86655,0.79297,0.60893,0.22554,0.03453,0,0.00505,0.00505,0.00505
77,1478.46,0.59482,0.79033,0.27559,0.0112,0.37974,1,0.92255,0.98239,0.82383,1,0.92255,0.98239,0.86378,0.6619,0.59969,0.34373,0.0276,0,0.00494634,0.00494634,0.00494634
