epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
107,1825.29,0.49179,0.6804,0.24863,0.00858,0.32572,0.99199,1,0.995,0.93969,0.99199,1,0.995,0.93063,0.36482,0.47798,0.15015,0.01485,0,0.00205723,0.00205723,0.00205723
108,1842.51,0.48448,0.68617,0.22625,0.00838,0.31075,0.99241,0.99873,0.99492,0.93772,0.99241,0.99873,0.99492,0.93445,0.37438,0.48063,0.14526,0.01482,0,0.00197532,0.00197532,0.00197532
109,1859.58,0.47594,0.68142,0.2429,0.00823,0.30807,0.99241,1,0.995,0.92939,0.99241,1,0.995,0.94039,0.40242,0.46976,0.13445,0.01562,0,0.00189475,0.00189475,0.00189475
110,1876.91,0.47783,0.68349,0.24693,0.00818,0.29526,0.99813,0.98473,0.99485,0.91302,0.99813,0.98473,0.99485,0.95041,0.42161,0.45293,0.16546,0.01596,0,0.00181557,0.00181557,0.00181557
111,1894.48,0.48164,0.68937,0.23764,0.00831,0.30605,0.97726,0.98404,0.99355,0.93773,0.97726,0.98404,0.99355,0.94832,0.35096,0.45346,0.15351,0.01305,0,0.0017378,0.0017378,0.0017378
112,1912.22,0.46633,0.65083,0.23252,0.00824,0.29597,0.9774,0.99023,0.99416,0.92657,0.9774,0.99023,0.99416,0.93675,0.3631,0.46798,0.18761,0.01371,0,0.00166149,0.00166149,0.00166149
113,1929.68,0.47844,0.69607,0.24098,0.00844,0.30373,0.9769,1,0.99447,0.90822,0.9769,1,0.99447,0.94175,0.43092,0.4611,0.17788,0.01674,0,0.00158667,0.00158667,0.00158667
114,1947.26,0.47987,0.66498,0.23627,0.00807,0.29334,0.98482,0.99064,0.99423,0.9169,0.98482,0.99064,0.99423,0.93683,0.40205,0.4547,0.17368,0.01566,0,0.00151336,0.00151336,0.00151336
115,1964.6,0.48428,0.66935,0.25126,0.00809,0.30721,0.97034,0.99886,0.99356,0.94862,0.97034,0.99886,0.99356,0.94199,0.32709,0.46258,0.17187,0.01253,0,0.00144161,0.00144161,0.00144161
116,1981.93,0.4629,0.63299,0.2257,0.00799,0.27704,0.97758,0.99842,0.99415,0.88363,0.97758,0.99842,0.99415,0.92829,0.5029,0.48006,0.19722,0.01946,0,0.00137143,0.00137143,0.00137143
117,2000.05,0.4483,0.64365,0.21011,0.0079,0.28902,0.97755,0.99723,0.99393,0.9049,0.97755,0.99723,0.99393,0.93271,0.43187,0.48552,0.18308,0.01592,0,0.00130287,0.00130287,0.00130287
118,2017.63,0.45685,0.66184,0.22739,0.00793,0.30957,0.98401,0.98473,0.9934,0.94834,0.98401,0.98473,0.9934,0.92651,0.33696,0.48019,0.17333,0.01223,0,0.00123596,0.00123596,0.00123596
119,2035.18,0.45835,0.65933,0.2193,0.00798,0.28314,0.97702,0.97367,0.99357,0.88296,0.97702,0.97367,0.99357,0.93719,0.51569,0.46947,0.21558,0.01955,0,0.00117072,0.00117072,0.00117072
